新型コロナウイルス感染症,しんがたコロナウイルスかんせんしょう
朝鮮民主主義人民共和国,ちょうせんみんしゅしゅぎじんみんきょうわこく
そうこうしている内に,そうこうしているうちに
入れ代わり立ち代わり,いれかわりたちかわ
有難うございました,ありがとう
無くてはいけません,なくてはいけません
航空宇宙技術研究所,こうくううちゅうぎじゅつけんきゅうじょ
お待たせしました,おまたせしました
アルファベット順,アルファベットじゅん
グアテマラ共和国,グアテマラきょうわこく
プロフィール画像,プロフィールがぞう
公害等調整委員会,こうがいとうちょうせいいいんかい
北海道開発庁長官,ほっかいどうかいはつちょうちょうかん
売れ筋ランキング,うれすじランキング
如何にもならない,どうに
海外経済協力基金,かいがいけいざいきょうりょくききん
無くちゃいけない,な
無くてはいけない,な
無くてはならない,な
申し訳ありません,もうしわけありません
行ってらっしゃい,い
資源エネルギー庁,しげんエネルギーちょう
起き上がりこぼし,おきあがりこぼし
１００円ショップ,ひゃくえんショップ
あっという間に,あっというまに
いい加減にしろ,いいかげんにしろ
かも知れません,かもしれません
ご遠慮ください,ごえんりょください
ご馳走様でした,ごちそうさまでした
どう仕様もない,どうしようもない
どう致しまして,どういたしまして
ないと行けない,ないといけない
よくあるご質問,よくあるごしつもん
アメリカ合衆国,アメリカがっしゅうこく
カトリック教会,カトリックきょうかい
クラシック音楽,クラシックおんがく
中華人民共和国,ちゅうかじんみんきょうわこく
付き添い看護婦,つきそいかんごふ
何とも言えない,なんともいえない
光学式文字認識,こうがくしきもじにんしき
公共職業安定所,こうきょうしょくぎょうあんていじょ
北アイルランド,きたアイルランド
取り留めのない,とりと
国家公安委員会,こっかこうあんいいんかい
国際協力事業団,こくさいきょうりょくじぎょうだん
如何にもならな,いか
宇宙開発事業団,うちゅうかいはつじぎょうだん
待ち合わせ場所,まちあわせばしょ
携帯ストラップ,けいたいストラップ
晴れやかな笑顔,はれやかなえがお
東京証券取引所,とうきょうしょうけんとりひきじょ
気の向くままに,きのむ
無きゃいけない,なきゃいけない
無くてはならな,なな
知らないうちに,し
立ち居振る舞い,たちいふるまい
第一次世界大戦,だいいちじせかいたいせん
第二次世界大戦,だいにじせかいたいせん
自律神経失調症,じりつしんけいしっちょうしょう
行ったり来たり,いったりき
言うまでもない,い
議院運営委員会,ぎいんうんえいいいんかい
あっという間,あっというま
ある意味では,あるいみでは
いつの間にか,いつのまにか
お世話になっ,おせわにな
お世話になら,おせわにな
お世話になり,おせわにな
お世話になる,おせわにな
お世話になれ,おせわにな
お世話になろ,おせわにな
お休みなさい,おやす
お手伝いさん,おてつだいさん
お手数ですが,おてすうですが
お支払い方法,おしはらいほうほう
かも知れない,かもしれない
ご免ください,ごめん
たどり着おう,たどりつ
ついて行おう,い
とんでも無い,とんでもない
どう仕様もな,どうしようもない
ないと行けな,い
ひっくり返っ,ひっくりかえ
ひっくり返ら,ひっくりかえ
ひっくり返り,ひっくりかえ
ひっくり返る,ひっくりかえ
ひっくり返れ,ひっくりかえ
ひっくり返ろ,ひっくりかえ
やむを得ない,やむをえ
やり切れない,やりき
ゆうちょ銀行,ゆうちょぎんこう
よくある質問,よくあるしつもん
アカデミー賞,アカデミーしょう
エッフェル塔,エッフェルとう
ケーソン工法,ケーソンこうほう
スポーツ新聞,スポーツしんぶん
ダウ平均株価,ダウへいきんかぶか
フランス料理,フランスりょうり
マルクス主義,マルクスしゅぎ
一卵性双生児,いちらんせいそうせいじ
一挙手一投足,いっきょしゅいっとうそく
中距離核戦力,ちゅうきょりかくせんりょく
二十四時間制,にじゅうよじかんせい
似つかわしい,に
何とも言えな,い
何処にもない,どこにもない
六十四分音符,ろくじゅうしぶおんぷ
内閣官房長官,ないかくかんぼうちょうかん
分かりにくい,わ
前立腺肥大症,ぜんりつせんひだいしょう
危なっかしい,あぶなっか
取っ組み合い,とっくみあ
取りまとめさ,とりまと
取りまとめず,とりまと
取りまとめた,とりまと
取りまとめて,とりまと
取りまとめな,とりまと
取りまとめま,とりまと
取りまとめよ,とりまと
取りまとめら,とりまと
取りまとめる,とりまと
取りまとめろ,とりまと
取り越し苦労,とりこしぐろう
可能性が高い,かのうせいがたかい
国民体育大会,こくみんたいいくたいかい
国民健康保険,こくみんけんこうほけん
地方公共団体,ちほうこうきょうだんたい
大盤振る舞い,おおばんぶるまい
失礼しました,しつれいしました
威張りくさっ,いばりくさ
威張りくさら,いばりくさ
威張りくさり,いばりくさ
威張りくさる,いばりくさ
威張りくされ,いばりくさ
