新型コロナウイルス感染症,しんがたコロナウイルスかんせんしょう
朝鮮民主主義人民共和国,ちょうせんみんしゅしゅぎじんみんきょうわこく
入れ代わり立ち代わり,いれかわりたちかわ
そうこうしている内に,そうこうしているうちに
有難うございました,ありがとう
航空宇宙技術研究所,こうくううちゅうぎじゅつけんきゅうじょ
無くてはいけません,なくてはいけません
行ってらっしゃい,い
売れ筋ランキング,うれすじランキング
起き上がりこぼし,おきあがりこぼし
お待たせしました,おまたせしました
海外経済協力基金,かいがいけいざいきょうりょくききん
公害等調整委員会,こうがいとうちょうせいいいんかい
資源エネルギー庁,しげんエネルギーちょう
如何にもならない,どうに
無くちゃいけない,な
無くてはいけない,な
無くてはならない,な
１００円ショップ,ひゃくえんショップ
北海道開発庁長官,ほっかいどうかいはつちょうちょうかん
申し訳ありません,もうしわけありません
アルファベット順,アルファベットじゅん
グアテマラ共和国,グアテマラきょうわこく
プロフィール画像,プロフィールがぞう
あっという間に,あっというまに
いい加減にしろ,いいかげんにしろ
言うまでもない,い
行ったり来たり,いったりき
宇宙開発事業団,うちゅうかいはつじぎょうだん
かも知れません,かもしれません
北アイルランド,きたアイルランド
気の向くままに,きのむ
議院運営委員会,ぎいんうんえいいいんかい
携帯ストラップ,けいたいストラップ
光学式文字認識,こうがくしきもじにんしき
公共職業安定所,こうきょうしょくぎょうあんていじょ
国際協力事業団,こくさいきょうりょくじぎょうだん
国家公安委員会,こっかこうあんいいんかい
ご遠慮ください,ごえんりょください
ご馳走様でした,ごちそうさまでした
知らないうちに,し
自律神経失調症,じりつしんけいしっちょうしょう
立ち居振る舞い,たちいふるまい
第一次世界大戦,だいいちじせかいたいせん
第二次世界大戦,だいにじせかいたいせん
中華人民共和国,ちゅうかじんみんきょうわこく
付き添い看護婦,つきそいかんごふ
東京証券取引所,とうきょうしょうけんとりひきじょ
取り留めのない,とりと
どう致しまして,どういたしまして
どう仕様もない,どうしようもない
ないと行けない,ないといけない
無きゃいけない,なきゃいけない
何とも言えない,なんともいえない
晴れやかな笑顔,はれやかなえがお
待ち合わせ場所,まちあわせばしょ
よくあるご質問,よくあるごしつもん
アメリカ合衆国,アメリカがっしゅうこく
カトリック教会,カトリックきょうかい
クラシック音楽,クラシックおんがく
如何にもならな,いか
無くてはならな,なな
風邪をひおう,かぜ
食らいつおう,く
あっという間,あっというま
危なっかしい,あぶなっか
ある意味では,あるいみでは
言い出しっぺ,いいだしっぺ
言いようがな,い
一卵性双生児,いちらんせいそうせいじ
一挙手一投足,いっきょしゅいっとうそく
いつの間にか,いつのまにか
移動性高気圧,いどうせいこうきあつ
浮かばれない,うかばれない
打ち上げ花火,うちあげはなび
大盤振る舞い,おおばんぶるまい
押しかけ女房,おしかけにょうぼう
お支払い方法,おしはらいほうほう
落ち着き払う,おちつきはらう
お手数ですが,おてすうですが
お手伝いさん,おてつだいさん
思いがけない,お
お休みなさい,おやす
折り返し運転,おりかえしうんてん
隠し引き出し,かくしひきだし
駆け付け三杯,かけつけさんばい
畏まりました,かしこ
数え切れない,かぞえき
可能性が高い,かのうせいがたかい
かも知れない,かもしれない
観光スポット,かんこうスポット
学習指導要領,がくしゅうしどうようりょう
聞き込み捜査,ききこみそうさ
緊急事態宣言,きんきゅうじたいせんげん
繰り出し梯子,くりだしはしご
高等専門学校,こうとうせんもんがっこう
小売物価指数,こうりぶっかしすう
国民健康保険,こくみんけんこうほけん
国民体育大会,こくみんたいいくたいかい
ご免ください,ごめん
肢体不自由児,したいふじゆうじ
知っての通り,しってのとお
失礼しました,しつれいしました
省エネルギー,しょうエネルギー
知らず知らず,しらずしらず
前立腺肥大症,ぜんりつせんひだいしょう
立ち入り禁止,たちいりきんし
地方公共団体,ちほうこうきょうだんたい
中距離核戦力,ちゅうきょりかくせんりょく
手当たり次第,てあたりしだい
手っ取り早い,てっとりばやい
統合幕僚会議,とうごうばくりょうかいぎ
取っ組み合い,とっくみあ
取り越し苦労,とりこしぐろう
とんでも無い,とんでもない
何処にもない,どこにもない
内閣官房長官,ないかくかんぼうちょうかん
馴れ馴れしい,なれなれしい
煮え切らない,にえきらない
二十四時間制,にじゅうよじかんせい
似つかわしい,に
日本学術会議,にほんがくじゅつかいぎ
根掘り葉掘り,ねほりはほ
農業協同組合,のうぎょうきょうどうくみあい
計り知れない,はかりしれない
引っ込み思案,ひっこみじあん
必死になって,ひっし
見当たらない,みあたらない
見っとも無い,みっともない
目覚まし時計,めざましどけい
目まぐるしい,め
若しかしたら,もしかしたら
若しかすると,もしかすると
持ち回り閣議,もちまわりかくぎ
門戸開放政策,もんこかいほうせいさく
役に立たない,やくにたたな
やむを得ない,やむをえ
