> Line : 1
>> Start : あだ名,あだな,suru,あだな
>>> Start : あだ名
>あだ名 = suru
>>>あだ名 = suru stripping 
> Line : 2
>> Start : お世話になる,おせわになる,godan,おせわにな
>>> Start : お世話になる
>お世話になる = godan
>>> Forced stripping
>>>お世話になる = godan stripping 
stem Kanji = お世話にな
stem kana = おせわにな
pronounciation = おせわにな
> Entering godan
> Entering godan > る
> Line : 3
>> Start : お代わり,おかわり,suru,おかわり
>>> Start : お代わり
>お代わり = suru
>>>お代わり = suru stripping 
> Line : 4
>> Start : お参り,おまいり,suru,おまいり
>>> Start : お参り
>お参り = suru
>>>お参り = suru stripping 
> Line : 5
>> Start : お喋り,おしゃべり,suru,おしゃべり
>>> Start : お喋り
>お喋り = suru
>>>お喋り = suru stripping 
> Line : 6
>> Start : お手伝い,おてつだい,suru,おてつだい
>>> Start : お手伝い
>お手伝い = suru
>>>お手伝い = suru stripping 
> Line : 7
>> Start : お洒落,おしゃれ,suru,おしゃれ
>>> Start : お洒落
>お洒落 = suru
>>>お洒落 = suru stripping 
> Line : 8
>> Start : お詫び,おわび,suru,おわび
>>> Start : お詫び
>お詫び = suru
>>>お詫び = suru stripping 
> Line : 9
>> Start : お負け,おまけ,suru,おまけ
>>> Start : お負け
>お負け = suru
>>>お負け = suru stripping 
> Line : 10
>> Start : お辞儀,おじぎ,suru,おじぎ
>>> Start : お辞儀
>お辞儀 = suru
>>>お辞儀 = suru stripping 
> Line : 11
>> Start : お返し,おかえし,suru,おかえし
>>> Start : お返し
>お返し = suru
>>>お返し = suru stripping 
> Line : 12
>> Start : お願い,おねがい,suru,おねがい
>>> Start : お願い
>お願い = suru
>>>お願い = suru stripping 
> Line : 13
>> Start : かけ離れる,かけはなれる,ichidan,かけはな
>>> Start : かけ離れる
>かけ離れる = ichidan
>>>かけ離れる = ichidan stripping 
stem Kanji = かけ離れ
stem kana = かけはなれ
pronounciation = かけはな
> Entering ichidan
> Line : 14
>> Start : くじ引き,くじびき,suru,くじびき
>>> Start : くじ引き
>くじ引き = suru
>>>くじ引き = suru stripping 
> Line : 15
>> Start : くたばる,,godan,くたば
>>> Start : くたばる
>くたばる = godan
>>> Forced stripping
>>>くたばる = godan stripping 
stem Kanji = くたば
stem kana = 
pronounciation = くたば
> Entering godan
> Entering godan > る
> Line : 16
>> Start : くっ付く,くっつく,godan,くっつ
>>> Start : くっ付く
>くっ付く = godan
>>> Forced stripping
>>>くっ付く = godan stripping 
stem Kanji = くっ付
stem kana = くっつ
pronounciation = くっつ
> Entering godan
> Entering godan > く
> Line : 17
>> Start : くっ付ける,くっつける,ichidan,くっつ
>>> Start : くっ付ける
>くっ付ける = ichidan
>>>くっ付ける = ichidan stripping 
stem Kanji = くっ付け
stem kana = くっつけ
pronounciation = くっつ
> Entering ichidan
> Line : 18
>> Start : こみ上げる,こみあげる,ichidan,こみあ
>>> Start : こみ上げる
