0	ゼロ	zero, 0, nought, nil, nothing, zilch	kana|n5|noun	
え	え	eh?, what?, oh?, yes, thats correct, strengthens a question, assertion, etc., hey	particle	
か	か	indicates a question, or, whether or not, some- (e.g. something, someone), hmm, huh, very, -al, -ial, -ic, -ical, -ish, -y, in that way	adverb|particle|prefix|suffix	
が	が	indicates sentence subject (occasionally object), indicates possessive (esp. in literary expressions), but, however, still, and, regardless of, whether (or not)	conjunction|particle	
さ	さ	-ness, indicates assertion, come, come now	particle|suffix	
し	し	and, besides, moreover, whats more, not only ... but also, because, since, the thing is, for one thing	conjunction|particle	
ぜ	ぜ	I can tell you, heh	familiar language|male term|particle	
ぞ	ぞ	adds force or indicates command	male term|particle	
だ	だ	be, is, did, (have) done, please, do	auxiliary verb	
で	で	at, in, at, when, by, with, and then, so, and, then, let me tell you, dont you know	conjunction|particle	
と	と	if, when, and, with, used for quoting (thoughts, speech, etc.), promoted pawn, indicates a question	conjunction|n1|noun|particle	
な	な	dont, do, hey, listen, look, say, now, ..., well, ..., I tell you!, you know, wow, ooh, right?, isnt it?, doesnt it?, dont you?, dont you think?	particle	
に	に	at (place, time), in, on, during, to (direction, state), toward, into, for (purpose), because of (reason), for, with, by, from, as (i.e. in the role of), per, in, for, a (e.g. once a month), and, in addition to, if, although	particle	
ね	ね	right?, isnt it?, doesnt it?, dont you?, dont you think?, hey, say, listen, look, come on, you know, you see, I must say, I should think, will you?, please, so, ..., well, ..., you see, ..., you understand?, Im not sure if ..., I have my doubts about whether ...	particle	
の	の	indicates possessive, nominalizes verbs and adjectives, substitutes for ga in subordinate phrases, (at sentence-end, falling tone) indicates a confident conclusion, (at sentence-end) indicates emotional emphasis, (at sentence-end, rising tone) indicates question	female term|male term|particle	
は	は	indicates sentence topic, indicates contrast with another option (stated or unstated), adds emphasis	particle	
ば	ば	if ... then, when, and, why dont you...?, the more (one does something), because, since	particle	
へ	へ	to, towards, for	particle	
も	も	too, also, in addition, as well, (not) either (in a negative sentence), both A and B, A as well as B, neither A nor B (in a negative sentence), even, as much as, as many as, as far as, as long as, no less than, no fewer than, even if, even though, although, in spite of, further, more, again, another, the other	adverb|colloquial|particle	
や	や	such things as ..., and ... and, the minute (that) ..., no sooner than ..., as soon as, be, is, o, oh, huh, what, hi, yes, what?, yes?, no?, is it?, isnt it?	male term|particle	
よ	よ	hey, you, hey, hey, hold on, yo, hey	particle	
わ	わ	indicates emotion or admiration, indicates emphasis, I, me, wah!, boo!	female term|male term|noun|particle|pronoun	
を	を	indicates direct object of action, indicates subject of causative expression, indicates an area traversed, indicates time (period) over which action takes place, indicates point of departure or separation of action, indicates object of desire, like, hate, etc.	particle	
一	いち	one, 1, best, first, foremost, beginning, start, a (single), one (of many), ace, bottom string (on a shamisen, etc.)	adjective|n5|noun|numeric|prefix|suffix|taking の	
一	ひと	one, one	numeric|prefix	
丁	ちょう	counter for long and narrow things such as guns, scissors, spades, hoes, inksticks, palanquins, candles, jinrikishas, shamisen, oars	counter	
七	しち	seven	n3|numeric	
万	まん	10,000, ten thousand, myriad, everything, all, various	adjective|adverb|n5|noun|numeric|taking の	
丈	たけ	height, stature, length (esp. of clothing), all (one has), everything, magnificence (of a waka poem, etc.)	noun	
丈	だけ	only, just, merely, simply, no more than, nothing but, alone, as much as, to the extent of, enough to	kana|n1|particle	
三	さん	three, 3	n5|numeric	
上	うえ	above, over, up, top, summit, upper part, head (e.g. of a staircase), surface, on (top of), the above (in a piece of writing), earlier part, superior, better, higher (position, rank, etc.), upper (class), elder, older, senior, with respect to ..., in terms of, as far as ... is concerned, when (e.g. drunk), besides ..., in addition to ..., on top of ..., as well as ..., after ..., upon ..., on ..., with (e.g. full awareness), as a result of ..., since ..., now that ..., because ..., honorable, venerable, dear, emperor, sovereign, shogun, daimyo	adjective|honorific|n5|noun|suffix|taking の	
上	かみ	upper reaches (of a river), upper stream, top, upper part, upper half (of the body), long ago, beginning, first, person of high rank (e.g. the emperor), government, imperial court, imperial capital (i.e. Kyoto), capital region (i.e. Kansai), region (or direction of) the imperial palace, head (of a table), wife, mistress (of a restaurant)	honorific|noun	
上	じょう	from the standpoint of, from the viewpoint of, with respect to, in terms of, as a matter of, in view of, so far as ... is concerned, on, above, on top of, aboard (a ship or vehicle), the best, top, first class, first grade, first volume (of a two or three-volume set), first book, with my compliments	adjective|expression|n3|noun|suffix|taking の	
下	した	below, down, under, younger (e.g. daughter), bottom, beneath, underneath, just after, right after, inferiority, ones inferior (i.e. ones junior), trade-in, preliminary, preparatory	adjective|n5|noun|taking の	
下	もと	under (guidance, supervision, rules, the law, etc.), under (a flag, the sun, etc.), beneath, with (e.g. one blow), on (the promise, condition, assumption, etc. that ...), in (e.g. the name of), (someones) side, (someones) location	adverb|noun	
丑	うし	the Ox (second sign of the Chinese zodiac), hour of the Ox (around 2am, 1-3am, or 2-4am), north-northeast, twelfth month of the lunar calendar	noun	
世	よ	world, society, public, life, lifetime, age, era, period, epoch, generation, reign, rule, the times, world (of existence)	n1|noun	
丘	おか	hill, height, knoll, rising ground, bonus points awarded to the winner at the end of a game	kana|n3|noun	
丙	へい	third rank, third class, third person (in a contract, etc.), third sign of the Chinese calendar	noun	
両	りょう	both (hands, parents, sides, etc.), counter for carriages (e.g. in a train), counter for vehicles, ryō, tael, traditional unit of weight (for gold, silver and drugs), 4-5 monme, 15-19 g, ryō, pre-Meiji unit of currency, orig. the value of one ryō of gold, ryō, traditional measure of fabric, 2 tan, ryō, tael, unit of weight under the ritsuryō system, 1/16 kin, 42-43 g, counter for suits of clothing, sets of armor, etc.	adjective|counter|noun|prefix|taking の	
並	なみ	average, medium, common, ordinary, mid-grade (item), regular grade, same level as, equal to, equivalent to, on par with, each (e.g. month), every, row of (teeth, houses, etc.), line of	adjective|n1|noun|taking の	
中	じゅう	(all) through (e.g. the night), throughout (e.g. the year), all ... long, within (e.g. the week), in the course of (e.g. today), by the end of, all over, throughout (e.g. the world), all (of a group), the whole (family, school, etc.)	suffix	
中	ちゅう	medium (size), average (grade, level, etc.), middle, in, within, out of (e.g. ten people), among, during, while, in (the course of), within (a period), throughout, currently (doing), in the process of, in the middle of, under (e.g. construction, investigation), middle way, moderation, second volume (of three), junior high school, middle school, China	n3|noun|suffix	
中	なか	inside, interior, among, within, middle, center, centre, during, while, middle, midst, amid, interval, gap, mean, average, second (of three, e.g. sons, volumes), middle, medium grade, medium quality, red-light district	adjective|adverb|n5|noun|taking の	
串	くし	spit, skewer, proxy (computer server)	noun|slang	
丸	まる	circle, entirety, whole, full, complete, money, dough, moola, enclosure inside a castles walls, soft-shelled turtle, suffix for ship names, suffix for names of people (esp. infants), suffix for names of swords, armour, musical instruments, etc., suffix for names of dogs, horses, etc.	n3|noun|slang|suffix	
主	あるじ	head (of a household), proprietor (of a store), proprietress, landlord, landlady, master (of a servant), entertaining someone as ones guest	noun	
主	おも	chief, main, principal, important, main secondary or supporting role (in kyogen)	adjective|noun|な adjective	
主	しゅ	(ones) master, Lord, the main thing, the majority, the primary concern	adjective|noun|taking の	
主	ぬし	head (of a household, etc.), leader, master, owner, proprietor, proprietress, subject (of a rumour, etc.), doer (of a deed), guardian spirit (e.g. long-resident beast, usu. with mystical powers), long-time resident (or employee, etc.), husband, you	familiar language|noun|pronoun	
丼	どんぶり	porcelain bowl, donburi, bowl of meat, fish, etc. served over rice	n2|noun	
乙	おつ	(the) second (party, rank, etc.), B (grade), the latter, stylish, chic, smart, witty, tasty, strange, quaint, queer, thank you, good job, see you, goodbye, goodnight	adjective|expression|n1|noun|slang|な adjective	
九	きゅう	nine, 9	n3|numeric	
乳	ちち	milk, breast, loop, decorative bump (on a hanging bell)	n1|noun	
亀	かめ	tortoise, turtle, heavy drinker, turtle crest, turtle mon	noun	
了	りょう	finish, completion, the end	n1|noun	
事	こと	thing, matter, incident, occurrence, event, something serious, trouble, crisis, circumstances, situation, state of affairs, work, business, affair, after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to, nominalizing suffix, pretending to ..., playing make-believe ..., alias, also known as, otherwise known as, or, necessity, need, you should ..., I advise that you ..., its important to ...	kana|n3|noun	
二	に	two, 2	n5|numeric	
五	ご	five, 5	n5|numeric	
井	い	well	noun	
亥	い	the Boar (twelfth sign of the Chinese zodiac), the Pig, hour of the Boar (around 10pm, 9-11pm, or 10pm to 12 midnight), north-northwest, tenth month of the lunar calendar	noun	
京	きょう	imperial capital (esp. Kyoto), final word of an iroha poem, 10^16, 10,000,000,000,000,000, ten quadrillion	noun|numeric	
人	じん	-ian (e.g. Italian), -ite (e.g. Tokyoite), -er (e.g. performer, etc.), person working with ..., man, person, people	n1|suffix	
人	にん	counter for people	counter	
人	ひと	person, someone, somebody, human beings, mankind, man, people, humans, human (Homo sapiens), (other) people, others, character, personality, nature, capable person, competent person, suitable person, right person, adult, grown-up, I, me, one	kana|n5|noun	
仁	じん	benevolence (esp. as a virtue of Confucianism), consideration, compassion, humanity, charity, human, kernel, nucleolus	noun	
仇	あだ	foe, enemy, rival, resentment, enmity, grudge, harm, injury	noun	
今	いま	now, the present time, just now, soon, immediately, another, more	adjective|adverb|n5|noun|taking の	
仏	ほとけ	Buddha, Shakyamuni, Buddhist image, figure of Buddha, the dead, dead person, departed soul, merciful person	n3|noun	
仕	し	official, civil service	noun	
他	た	other (esp. people and abstract matters)	adjective|adverb|n3|noun|taking の	
他	ほか	another place, some other place, somewhere else, outside, another (person or thing), other, different, something else, someone else, the rest, et al., beyond (ones expectations, imagination, etc.), outside, except, but, other than, apart from, besides, in addition to, as well as, on top of	adjective|adverb|kana|n5|noun|taking の	
仙	セント	cent (monetary unit)	kana|noun	
令	れい	command, order, dictation, nth year in the Reiwa era (May 1, 2019-)	noun|prefix	
仮	かり	temporary, provisional, interim, fictitious, assumed (name), alias, hypothetical, theoretical	adjective|noun|prefix|taking の	
仲	なか	relation, relationship	n3|noun	
件	けん	matter, affair, case, item, subject, counter for (received) emails, text messages, voicemail messages, etc., counter for accounts (on a website, email service, etc.)	counter|noun	
任	にん	obligation, duty, charge, responsibility	noun	
会	かい	meeting, assembly, party, gathering, conference, athletic meet, society, association, club	n3|noun	
伝	つて	means of making contact, intermediary, go-between, connections, influence, pull, good offices	kana|noun	
