嗚呼,ああ
嗚呼嗚呼,ああああ
ああ言う,ああいう
愛,あい
藍,あい
愛育,あいいく
相打ち,あいうち
愛煙家,あいえんか
相変わらず,あいかわらず
哀歓,あいかん
哀感,あいかん
合気道,あいきどう
愛嬌,あいきょう
愛くるしい,あい
愛犬,あいけん
愛好,あいこう
愛国,あいこく
合言葉,あいことば
愛護,あいご
愛妻,あいさい
挨拶,あいさつ
愛車,あいしゃ
愛社,あいしゃ
哀愁,あいしゅう
愛書,あいしょ
愛称,あいしょう
相性,あいしょう
愛唱,あいしょう
愛情,あいじょう
愛人,あいじん
合図,あいず
哀切,あいせつ
愛想,あいそ
愛憎,あいぞう
愛蔵,あいぞう
相対,あいたい
間,あいだ
間柄,あいだがら
間中,あいだじゅう
愛着,あいちゃく
愛鳥,あいちょう
彼奴,あいつ
あいつ等,あいつら
相槌,あいづち
相手,あいて
相手方,あいてかた
哀悼,あいとう
愛読,あいどく
生憎,あいにく
合いの手,あいのて
相乗り,あいのり
愛馬,あいば
相部屋,あいべや
相棒,あいぼう
合間,あいま
曖昧,あいまい
相まって,あい
愛用,あいよう
愛欲,あいよく
愛らしい,あい
敢えて,あえて
和え物,あえもの
亜鉛,あえん
青,あお
青々,あおあお
青嵐,あおあらし
青い,あお
葵,あおい
青息吐息,あおいきといき
青色,あおいろ
青色申告,あおいろしんこく
青梅,あおうめ
青木,あおき
青信号,あおしんごう
青写真,あおじゃしん
青白い,あおじろ
青空,あおぞら
青田,あおた
青田買い,あおたが
青竹,あおだけ
青砥,あおと
青菜,あおな
青葉,あおば
仰向け,あおむけ
青柳,あおやぎ
垢,あか
赤,あか
赤々,あかあか
赤い,あか
赤色,あかいろ
赤紙,あかがみ
赤毛,あかげ
赤子,あかご
証,あかし
赤潮,あかしお
赤信号,あかしんごう
赤字,あかじ
赤地,あかじ
赤ちゃん,あかちゃん
暁,あかつき
赤土,あかつち
茜,あかね
赤旗,あかはた
赤松,あかまつ
赤身,あかみ
明かり,あかり
明るい,あか
赤ん坊,あかんぼう
上が,あ
秋,あき
空き,あき
飽き,あき
安芸,あき
秋風,あきかぜ
空き缶,あきかん
秋口,あきぐち
秋雨前線,あきさめぜんせん
空き巣,あきす
空き地,あきち
商い,あきな
秋晴れ,あきばれ
空き瓶,あきびん
秋祭り,あきまつり
空き家,あきや
明らか,あきらか
悪,あく
悪意,あくい
悪影響,あくえいきょう
悪質,あくしつ
握手,あくしゅ
悪習,あくしゅう
悪臭,あくしゅう
悪事,あくじ
悪循環,あくじゅんかん
悪女,あくじょ
悪条件,あくじょうけん
悪性,あくせい
悪政,あくせい
悪戦苦闘,あくせんくとう
悪態,あくたい
悪玉,あくだま
悪天候,あくてんこう
悪党,あくとう
悪徳,あくとく
悪童,あくどう
悪人,あくにん
悪評,あくひょう
欠伸,あくび
悪弊,あくへい
悪法,あくほう
悪魔,あくま
飽くまでも,あくまでも
悪夢,あくむ
悪名高い,あくめいたか
悪役,あくやく
悪用,あくよう
悪霊,あくりょう
握力,あくりょく
あくる日,あくるひ
悪路,あくろ
胡座,あぐら
朱,あけ
明け方,あけがた
明け暮れ,あけくれ
曙,あけぼの
揚げ,あげ
上げ,あげ
上げ下ろし,あげおろし
挙句,あげく
上げ下げ,あげさげ
上げ潮,あげしお
揚げ物,あげもの
憧れ,あこがれ
憧れの的,あこがれのまと
顎,あご
朝,あさ
麻,あさ
浅い,あさ
朝市,あさいち
朝一番,あさいちばん
朝帰り,あさがえり
朝顔,あさがお
朝駆け,あさがけ
朝方,あさがた
朝霧,あさぎり
浅黒い,あさぐろ
朝ご飯,あさごはん
浅瀬,あさせ
明後日,あさって
麻布,あさぬの
朝寝坊,あさねぼう
浅はか,あさはか
朝晩,あさばん
朝日,あさひ
朝飯,あさめし
朝焼け,あさやけ
朝夕,あさゆう
痣,あざ
字,あざ
鮮やか,あざやか
葦,あし
足,あし
足跡,あしあと
足音,あしおと
足掛け,あしかけ
悪しからず,あしからず
足がかり,あしがかり
足首,あしくび
足腰,あしこし
足ずり,あしずり
明日,あした
足手まとい,あしで
足止め,あしどめ
足取り,あしどり
足並み,あしなみ
足場,あしば
足早,あしばや
足踏み,あしぶみ
足元,あしもと
亜種,あしゅ
鯵,あじ
味,あじ
味気ない,あじけ
味付け,あじつけ
味の素,あじのもと
味わい,あじ
味わう,あじわう
預かり,あずかり
預り証,あずかりしょう
預かり所,あずかりじょ
小豆,あずき
預け,あずけ
梓,あずさ
汗,あせ
汗だく,あせだく
汗水,あせみず
焦り,あせり
畦,あぜ
彼処,あそこ
遊び,あそび
遊び相手,あそびあいて
遊び場,あそびば
値,あたい
与え,あたえ
恰も,あたかも
私,あたし
暖かい,あたた
頭,あたま
頭打ち,あたまうち
頭数,あたまかず
頭金,あたまきん
新しい,あたら
辺り,あた
当たり,あ
当たり年,あたりどし
当たり前,あたりまえ
当たり役,あたりやく
徒,あだ
仇,あだ
仇討ち,あだうち
あだ名,あだな
彼方此方,あちこち
彼方,あちら
悪化,あっか
圧巻,あっかん
呆気,あっけ
圧殺,あっさつ
圧死,あっし
圧縮,あっしゅく
圧縮空気,あっしゅくくうき
圧勝,あっしょう
圧政,あっせい
斡旋,あっせん
有って無い,あってな
あっという間,あっというま
あっという間に,あっというまに
圧倒,あっとう
圧倒的,あっとうてき
圧迫,あっぱく
熱々,あつあつ
熱い,あつ
暑い,あつ
厚い,あつ
厚板,あついた
圧延,あつえん
扱い,あつか
扱い方,あつかいかた
扱う,あつかう
厚かましい,あつ
厚紙,あつがみ
厚着,あつぎ
厚化粧,あつげしょう
厚さ,あつ
暑さ,あつ
厚手,あつで
集まり,あつまり
厚み,あつ
圧力,あつりょく
圧力団体,あつりょくだんたい
当て,あ
宛先,あてさき
宛名,あてな
後,あと
跡,あと
後味,あとあじ
後々,あとあと
後追い,あとお
後押し,あとお
跡形,あとかた
後片付け,あとかたづけ
後から,あとから
後書き,あとがき
後始末,あとしまつ
後ずさり,あとずさり
跡継ぎ,あとつぎ
跡取り,あとと
後の祭り,あとのまつ
後払い,あとばら
後回し,あとまわし
跡目,あとめ
後戻り,あともど
穴,あな
穴埋め,あなうめ
強ち,あながち
穴熊,あなぐま
貴方,あなた
あなた方,あなたがた
穴場,あなば
兄,あに
兄貴,あにき
兄弟子,あにでし
姉,あね
亜熱帯,あねったい
彼の,あ
あの方,あのかた
あの人,あのひと
あの世,あのよ
暴れん坊,あばれんぼう
家鴨,あひる
危ない,あぶ
危なげない,あぶなげ
危なっかしい,あぶなっか
脂,あぶら
油,あぶら
油揚げ,あぶらあげ
油絵,あぶらえ
油絵の具,あぶらえのぐ
脂っこい,あぶらっ
脂身,あぶらみ
阿呆,あほ
海女,あま
尼,あま
雨脚,あまあし
甘い,あま
甘え,あま
甘えん坊,あまえんぼう
甘辛,あまから
天下り,あまくだり
甘口,あまくち
雨具,あまぐ
雨雲,あまぐも
甘酢,あまず
雨垂れ,あまだれ
雨戸,あまど
天の川,あまのがわ
甘味,あまみ
雨水,あまみず
雨模様,あまもよう
雨漏り,あまもり
雨宿り,あまやどり
余り,あま
網,あみ
阿弥陀,あみだ
網棚,あみだな
網戸,あみど
網目,あみめ
編み物,あみもの
雨,あめ
飴,あめ
雨上がり,あめあがり
雨降り,あめふり
危うい,あや
危うく,あやうく
怪しい,あや
怪しげ,あやしげ
操り,あやつ
操り人形,あやつりにんぎょう
過ち,あやまち
誤って,あやま
誤り,あやま
謝り,あやま
鮎,あゆ
歩み,あゆ
歩み寄り,あゆみよ
荒々しい,あらあら
荒い,あら
粗い,あら
洗い場,あらいば
洗い物,あらいもの
洗う,あらう
荒海,あらうみ
予め,あらかじめ
荒稼ぎ,あらかせぎ
荒木,あらき
荒削り,あらけずり
荒事,あらごと
嵐,あらし
粗筋,あらすじ
争い,あらそ
争う,あらそ
新た,あら
改まった,あらた
改めて,あらた
荒っぽい,あら
新手,あらて
荒波,あらなみ
荒巻,あらまき
荒療治,あらりょうじ
現れ,あらわ
蟻,あり
あり得ない,ありえ
有難い,ありがた
有りがち,ありが
有り難う,ありがと
有難うございました,ありがとう
有様,ありさま
在りし日,ありしひ
有りそう,あ
有りのまま,あ
有り触れた,ありふ
亜流,ありゅう
或いは,ある
ある意味で,あるいみで
ある意味では,あるいみでは
主,あるじ
彼,あれ
荒れ,あ
彼是,あれこれ
あれ程,あれほど
荒れ模様,あれもよう
泡,あわ
粟,あわ
淡い,あわい
併せ持つ,あわせもつ
慌ただしい,あわただしい
鮑,あわび
泡盛,あわもり
哀れ,あわ
案,あん
餡,あん
安易,あんい
暗雲,あんうん
安価,あんか
案外,あんがい
暗記,あんき
行脚,あんぎゃ
案件,あんけん
餡子,あんこ
暗黒,あんこく
暗号,あんごう
暗殺,あんさつ
安産,あんざん
暗算,あんざん
暗礁,あんしょう
暗証番号,あんしょうばんごう
安心,あんしん
安心感,あんしんかん
暗示,あんじ
安住,あんじゅう
杏,あんず
安静,あんせい
安全,あんぜん
安全装置,あんぜんそうち
安全地帯,あんぜんちたい
安全弁,あんぜんべん
安全保障,あんぜんほしょう
安全ピン,あんぜんピン
安息,あんそく
安息日,あんそくび
貴方,あんた
安泰,あんたい
安打,あんだ
安置,あんち
安直,あんちょく
安定,あんてい
暗転,あんてん
暗闘,あんとう
安堵,あんど
案内,あんない
案内書,あんないしょ
案内状,あんないじょう
暗に,あん
案の定,あんのじょう
安穏,あんのん
鞍馬,あんば
塩梅,あんばい
安否,あんぴ
案分,あんぶん
案文,あんぶん
安保,あんぽ
安眠,あんみん
暗黙,あんもく
暗夜,あんや
暗躍,あんやく
安楽,あんらく
安楽死,あんらくし
医,い
胃,い
位,い
偉,い
井,い
亥,い
威圧,いあつ
慰安,いあん
言い合う,いいあう
言い争い,いいあらそ
言い換え,いいかえ
いい加減,いいかげん
いい加減にしろ,いいかげんにしろ
言い方,いいかた
言い出しっぺ,いいだしっぺ
言い伝え,いいつたえ
言いなり,いいなり
言い値,いいね
言い逃れ,いいのがれ
言い分,いいぶん
言い回し,いいまわし
言いようがな,い
言い訳,いいわけ
言い渡し,いいわたし
委員,いいん
医院,いいん
委員会,いいんかい
委員長,いいんちょう
言うまでもない,い
家,いえ
遺影,いえい
家柄,いえがら
家路,いえじ
家筋,いえすじ
家づくり,いえづくり
家出,いえで
家並み,いえなみ
家元,いえもと
以遠,いえん
胃炎,いえん
硫黄,いおう
庵,いおり
烏賊,いか
医科,いか
以下,いか
医会,いかい
胃潰瘍,いかいよう
如何,いかが
医科学,いかがく
威嚇,いかく
如何に,いか
如何にも,いかにも
怒り,いかり
錨,いかり
斑鳩,いかる
移管,いかん
医官,いかん
遺憾,いかん
意外,いがい
以外,いがい
医学,いがく
鋳型,いがた
依願,いがん
生き,いき
粋,いき
息,いき
遺棄,いき
意気,いき
行き,いき
生き生き,いきいき
生き埋め,いきうめ
勢い,いきお
生き方,いきかた
生き甲斐,いきがい
域外,いきがい
息切れ,いきぎれ
息苦しい,いきぐる
意気軒昂,いきけんこう
意気込み,いきごみ
意気盛ん,いきさかん
行き先,いきさき
経緯,いきさつ
意気消沈,いきしょうちん
生き地獄,いきじごく
行き過ぎ,いきすぎ
閾値,いきち
行き違い,いきちがい
行き詰まり,いきづまり
意気投合,いきとうごう
行き届く,いきとどく
憤り,いきどお
行き止まり,いきど
域内,いきない
行き成り,いきな
息抜き,いきぬき
生き残り,いきのこり
息の根,いきのね
生き物,いきもの
依拠,いきょ
異郷,いきょう
異教徒,いきょうと
医局,いきょく
生き別れ,いきわかれ
意義,いぎ
異議,いぎ
偉業,いぎょう
幾,いく
幾重,いくえ
育英,いくえい
戦,いくさ
育種,いくしゅ
意気地,いくじ
育児,いくじ
育成,いくせい
幾多,いくた
幾つ,いく
幾つか,いくつか
幾度,いくど
異口同音,いくどうおん
幾日,いくにち
育苗,いくびょう
幾分,いくぶん
育毛剤,いくもうざい
幾ら,いくら
遺訓,いくん
池,いけ
畏敬,いけい
生垣,いけがき
行けない,いけない
生け花,いけばな
行けません,いけません
イケ面,いけめん
意見,いけん
違憲,いけん
威厳,いげん
憩い,いこい
遺構,いこう
以降,いこう
威光,いこう
遺稿,いこう
移行,いこう
意向,いこう
異国,いこく
遺骨,いこつ
遺恨,いこん
囲碁,いご
以後,いご
居心地,いごこち
異彩,いさい
諍い,いさかい
潔い,いさぎよい
遺作,いさく
些か,いささか
勇ましい,いさましい
勇み足,いさみあし
遺産,いさん
居酒屋,いざかや
遺志,いし
医師,いし
意思,いし
意志,いし
石,いし
石頭,いしあたま
医師会,いしかい
石垣,いしがき
意識,いしき
意識調査,いしきちょうさ
意識的,いしきてき
石組み,いしぐみ
意思決定,いしけってい
石ころ,いしころ
礎,いしずえ
意思疎通,いしそつう
石畳,いしだたみ
石段,いしだん
異質,いしつ
遺失,いしつ
遺失物,いしつぶつ
石造り,いしづくり
石橋,いしばし
意思表示,いしひょうじ
碑,いしぶみ
医者,いしゃ
慰謝,いしゃ
石山,いしやま
異種,いしゅ
異臭,いしゅう
萎縮,いしゅく
遺書,いしょ
衣装,いしょう
意匠,いしょう
衣食,いしょく
異色,いしょく
委嘱,いしょく
移植,いしょく
衣食住,いしょくじゅう
石綿,いしわた
威信,いしん
維新,いしん
以心伝心,いしんでんしん
意地,いじ
遺児,いじ
維持,いじ
医事,いじ
虐め,いじめ
移住,いじゅう
異状,いじょう
移譲,いじょう
以上,いじょう
異常,いじょう
意地悪,いじわる
偉人,いじん
椅子,いす
居座り,いすわり
泉,いずみ
何れ,いずれ
異性,いせい
威勢,いせい
為政者,いせいしゃ
移籍,いせき
遺跡,いせき
異説,いせつ
移設,いせつ
以前,いぜん
依然,いぜん
依然として,いぜんとして
磯,いそ
急いで,いそいで
位相,いそう
移送,いそう
居候,いそうろう
忙しい,いそがしい
急ぎ,いそぎ
急ぎ足,いそぎあし
磯辺,いそべ
遺族,いぞく
依存,いぞん
異存,いぞん
依存症,いぞんしょう
板,いた
遺体,いたい
痛い,いたい
痛々しい,いたいたしい
板紙,いたがみ
委託,いたく
致し方,いたしかた
悪戯,いたずら
頂,いただき
至って,いた
痛手,いたで
板の間,いたのま
板張り,いたばり
板前,いたまえ
痛ましい,いたましい
痛み,いたみ
痛み分け,いたみわけ
至り,いたり
至る所,いたるところ
異端,いたん
医大,いだい
偉大,いだい
一,いち
市,いち
位置,いち
一案,いちあん
一尉,いちい
一位,いちい
一々,いちいち
一員,いちいん
一因,いちいん
一円,いちえん
一応,いちおう
一億,いちおく
一概に,いちがいに
一丸,いちがん
一義,いちぎ
一行,いちぎょう
一隅,いちぐう
一群,いちぐん
一軍,いちぐん
一芸,いちげい
一撃,いちげき
一元,いちげん
一元化,いちげんか
一語,いちご
一期,いちご
苺,いちご
一座,いちざ
一字,いちじ
一事,いちじ
一時,いちじ
一時間,いちじかん
一時期,いちじき
一時金,いちじきん
一次産業,いちじさんぎょう
一次産品,いちじさんぴん
一時的,いちじてき
